Index,Name,Name_short,Min,Max,Type,Values,Landuse
0,DeliveryRatioSurface,DRF,0,100,Uniform,25%,Sugarcane
1,DeliveryRatioSeepage,DRP,0,100,Uniform,0-15%,Sugarcane
2,DWC,DWC,0,20,Uniform,0-10,Sugarcane
3,dissConst_DWC,gfDWC,0,5,Uniform,0.002-0.306 (mg/L),Grazing_Forested
4,dissConst_EMC,gfEMC,0,10,Uniform,0.003 - 0.61 (mg/L),Grazing_Forested
5,dissConst_DWC,goDWC,0,5,Uniform,0.002-0.306 (mg/L),Grazing_Open
6,dissConst_EMC,goEMC,0,10,Uniform,0.003 - 0.61 (mg/L),Grazing_Open
7,dissConst_DWC,cDWC,0,5,Uniform,0.002-0.306 (mg/L),Conservation
8,dissConst_EMC,cEMC,0,10,Uniform,0.003 - 0.61 (mg/L),Conservation
9,dissConst_DWC,fDWC,0,5,Uniform,0.002-0.306 (mg/L),Forestry
10,dissConst_EMC,fEMC,0,10,Uniform,0.003 - 0.61 (mg/L),Forestry
11,dissConst_DWC,oDWC,0,5,Uniform,0.002-0.306 (mg/L),Others
12,dissConst_EMC,oEMC,0,10,Uniform,0.003 - 0.61 (mg/L),Others
